doctor_id,department,shift_hours,historical_workload_patients_per_shift,current_appointments,department_demand_index,future_availability_score
106,Cardiology,12,34,19,0.4305450061463594,0.6030440687727981
199,Cardiology,24,22,9,0.4675482264409332,0.822089761784154
180,Neurology,8,14,0,0.3301346762656907,0.8056831141458665
167,Orthopedics,24,40,20,0.5032765683123229,0.7330337100926403
152,Pediatrics,24,40,28,0.987850182530269,0.5119571729742358
136,Orthopedics,12,43,3,0.6159165960282343,0.47142486702042924
196,Neurology,8,35,7,0.8479879745676089,0.7065470878580897
182,Pediatrics,24,16,0,0.337008625790721,0.8986059806305493
153,Cardiology,24,29,7,0.9603286226735707,0.633179137643995
189,Emergency,24,31,13,0.11185589684547621,0.9823086043191194
154,Emergency,12,14,23,0.9372206970234925,0.3239343290940252
174,Pediatrics,8,21,16,0.9082035012749955,0.2950976410139846
130,Orthopedics,24,30,8,0.16062059479620236,0.915728365770616
164,Pediatrics,24,18,28,0.6443620545786991,0.8431922554043265
199,Orthopedics,24,38,24,0.8067196472190573,0.5172553483303216
192,General Medicine,8,36,5,0.46342709284885597,0.6568072091850614
188,Orthopedics,12,26,0,0.1826715826018481,1.0
158,Emergency,12,49,22,0.8464599347725282,0.17771806624113107
146,Cardiology,24,33,22,0.5198484857884239,0.643629526468932
148,Neurology,24,36,8,0.3369250912752122,0.7516464169194688
117,Cardiology,12,17,0,0.16376989638624004,0.9973811581663085
102,Neurology,12,38,13,0.6761546601582581,0.5806608588647771
117,General Medicine,12,28,23,0.13807167496531536,0.5472515784082725
157,Emergency,24,19,29,0.811984477765627,0.5586711948076406
170,Neurology,24,33,27,0.7936768038802258,0.431718077790095
191,General Medicine,12,43,28,0.3906484308419471,0.48900026527415924
180,Orthopedics,12,49,10,0.5250586076873736,0.6222622654886475
124,Pediatrics,8,40,7,0.7022976452338126,0.6692888309548986
117,Neurology,24,13,22,0.9632114704575279,0.43133191894369943
151,Cardiology,8,40,11,0.5681359224972631,0.2573815897360312
142,Emergency,12,18,5,0.9970117652383987,0.4271719677595697
166,Emergency,24,35,16,0.39259520993959207,0.7492795814076518
188,General Medicine,24,22,10,0.5738427519523843,0.6420020840065206
106,Pediatrics,8,35,9,0.20405400221503417,0.868846342525889
173,Orthopedics,8,10,26,0.6007956166651348,0.17009719742804746
143,Orthopedics,8,49,7,0.5826819786052911,0.6933476964461982
143,Emergency,8,18,11,0.8639325230122362,0.5289685241556626
150,Orthopedics,24,40,20,0.9968964258269257,0.4938572055242041
182,General Medicine,12,33,3,0.987560301178222,0.6083768553145855
178,Pediatrics,12,31,20,0.31267107611661615,0.6114492091321931
184,Emergency,12,18,20,0.4046009982962072,0.6157123596987232
120,Orthopedics,8,48,29,0.3471913002951563,0.26876607707455563
136,Neurology,12,32,12,0.27971159620363706,0.7607457923631062
127,Neurology,8,29,25,0.23512241189477492,0.40842122693412486
131,General Medicine,8,30,2,0.5605696113110781,0.7094648562573318
156,Orthopedics,12,36,19,0.8852489041572128,0.34189373143743984
140,Neurology,12,14,3,0.6308808114347163,0.688454861976212
